"","Year","KG","USD","DD"
"1",1950,64813832.1995465,15625114,2046109
"2",1951,62987074.829932,15241981,2137535
"3",1952,64120136.0544218,13639356,1945791
"4",1953,62760408.1632653,9729078,1404779
"5",1954,63161814.0589569,8423007,1227488
"6",1955,61165623.5827664,9819861,1455204
"7",1956,70254285.7142857,9573211,1466999
"8",1957,71911201.814059,9252668,1464883
"9",1958,44450430.8390023,8271523,1339325
"10",1959,52457913.8321996,8965310,1471567
"11",1960,57379365.0793651,8885755,1478413
"12",1961,56647573.6961451,9319113,1567010
"13",1962,102385170.068027,10201097,1736228
"14",1963,86737278.9115646,9718247,1672996
"15",1964,89352426.3038549,10790481,1885852
"16",1965,66876417.2335601,12387307,2204693
"17",1966,29076235.8276644,11348654,2076345
"18",1967,17011020.4081633,12582555,2368921
"19",1968,26978639.4557823,14326099,2811927
"20",1969,18769795.9183673,14040235,2891022
"21",1970,14732018.1405896,16116637,3493606
"22",1971,16713285.260771,18710512,4261512
"23",1972,17006236.2811791,22152783,5263717
"24",1973,16734601.3605442,22084073,5534932
"25",1974,16086985.9410431,25475239,6959323
"26",1975,17245625.3968254,28503780,8508096
"27",1976,15955822.675737,32604336,10267428
"28",1977,15200870.2947846,30846583,10317568
"29",1978,16652452.6077098,33989533,12168594
"30",1979,17667417.2335601,39259906,15221461
"31",1980,18877185.9410431,45403557,19193447
"32",1981,17067825.3968254,45838291,21210755
"33",1982,16691877.5510204,45800496,22502701
"34",1983,17730521.0884354,38546089,19680089
"35",1984,18213760.0907029,40315061,21325860
"36",1985,18745355.5555556,38790024,21168108
"37",1986,20097325.6235828,45753389,25470911
"38",1987,18636497.9591837,53560951,30554376
"39",1988,17535997.7324263,54446909,32155796
"40",1989,18606799.5464853,54653280,33542907
"41",1990,21080244.8979592,55344118,35238153
"42",1991,23429373.2426304,53783543,35403016
"43",1992,24061698.8662132,57637395,38804372
"44",1993,27035123.3560091,61312436,42256529
"45",1994,25492173.6961451,66898300,47091047
"46",1995,26258693.877551,80012577,57503444
"47",1996,27454823.5827664,85050927,62242815
"48",1997,27236024.0362812,88047744,65547142
"49",1998,25625692.9705215,81832507,61605972
"50",1999,22468195.9183673,74865046,57174441
"51",2000,20327332.8798186,61309305,47869077
"52",2001,19277271.6553288,55265915,44096671
"53",2002,17523893.877551,51395378,41656982
"54",2003,17888683.446712,51662152,42650722
"55",2004,15980165.9863946,46950338,39804488
"56",2005,17728869.3877551,56462778,49360327
"57",2006,15109851.7006803,58519860,52706493
"58",2007,16252843.0839002,60379565,55842643
"59",2008,15447710.6575964,56673712,53434798
"60",2009,15492312.9251701,48068942,45667417
"61",2010,15263463.4920635,49843905,47905471
"62",2011,14522473.015873,50633040,49680120
"63",2012,16675460.7709751,55063145,55063145
"64",2013,15409687.9818594,57322291,58328288
"65",2014,12487972.7891156,56800348,58866741
"66",2015,13672088.4353742,69170494,72368938
"67",2016,13694613.6054422,52581745,55590462
"68",2017,11398213.1519274,46788415,50395801
"69",2018,10361916.0997732,46878819,51705458
"70",2019,10690030.3854875,42175882,47348755
"71",2020,10500746.9387755,34300018,38973400
"72",2021,10555497.5056689,40109909,47679048
"73",2022,8714377.32426304,38886570,38886570
